Profile;Width, b [mm];Height, h [mm];No. Reinforcement bottom;Diameter;Area steel, As [mm2];Area stirrups [mm2/m];Area conrete, Ac [mm2];Area top reinforcement [mm2];Area steel per meter, As [mm2/m];Area conrete per meter, Ac [mm2/m]
RB180x300, 2x12.5mm;180;300;2;12.5;981.75;128679.64;53018.25;100.5309649;1210960.605;5.18E+07
RB180x300, 4x12.5mm;180;300;4;12.5;1963.5;128679.64;52036.5;100.5309649;2192710.605;4.98E+07
RB180x360, 2x12.5mm;180;360;2;12.5;981.75;152807.07;63818.25;100.5309649;1235088.035;6.26E+07
RB180x360, 4x12.5mm;180;360;4;12.5;1963.5;152807.07;62836.5;100.5309649;2216838.035;6.06E+07
RB180x420, 2x12.5mm;180;420;2;12.5;981.75;176934.5;74618.25;100.5309649;1259215.465;7.34E+07
RB180x420, 4x12.5mm;180;420;4;12.5;1963.5;176934.5;73636.5;100.5309649;2240965.465;7.14E+07
RB180x420, 6x12.5mm;180;420;6;12.5;2945.24;176934.5;72654.76;100.5309649;3222705.465;6.94E+07
RB180x480, 2x12.5mm;180;480;2;12.5;981.75;201061.93;85418.25;100.5309649;1283342.895;8.41E+07
RB180x480, 4x12.5mm;180;480;4;12.5;1963.5;201061.93;84436.5;100.5309649;2265092.895;8.22E+07
RB180x480, 6x12.5mm;180;480;6;12.5;2945.24;201061.93;83454.76;100.5309649;3246832.895;8.02E+07
RB240x480, 4x12.5mm;240;480;4;12.5;1963.5;225189.36;113236.5;100.5309649;2289220.325;1.11E+08
RB240x480, 6x12.5mm;240;480;6;12.5;2945.24;225189.36;112254.76;100.5309649;3270960.325;1.09E+08
RB240x480, 8x12.5mm;240;480;8;12.5;3926.99;225189.36;111273.01;100.5309649;4252710.325;1.07E+08
RB240x540, 4x12.5mm;240;540;4;12.5;1963.5;249316.79;127636.5;100.5309649;2313347.755;1.25E+08
RB240x540, 6x12.5mm;240;540;6;12.5;2945.24;249316.79;126654.76;100.5309649;3295087.755;1.23E+08
RB240x540, 8x12.5mm;240;540;8;12.5;3926.99;249316.79;125673.01;100.5309649;4276837.755;1.21E+08
RB240x600, 4x12.5mm;240;600;4;12.5;1963.5;273444.22;142036.5;100.5309649;2337475.185;1.40E+08
RB240x600, 6x12.5mm;240;600;6;12.5;2945.24;273444.22;141054.76;100.5309649;3319215.185;1.38E+08
RB240x600, 8x12.5mm;240;600;8;12.5;3926.99;273444.22;140073.01;100.5309649;4300965.185;1.36E+08
RB240x600, 10x12.5mm;240;600;10;12.5;4908.74;273444.22;139091.26;100.5309649;5282715.185;1.34E+08
RB240x660, 4x12.5mm;240;660;4;12.5;1963.5;297571.66;156436.5;100.5309649;2361602.625;1.54E+08
RB240x660, 6x12.5mm;240;660;6;12.5;2945.24;297571.66;155454.76;100.5309649;3343342.625;1.52E+08
RB240x660, 8x12.5mm;240;660;8;12.5;3926.99;297571.66;154473.01;100.5309649;4325092.625;1.50E+08
RB240x660, 10x12.5mm;240;660;10;12.5;4908.74;297571.66;153491.26;100.5309649;5306842.625;1.48E+08
RB240x660, 12x12.5mm;240;660;12;12.5;5890.49;297571.66;152509.51;100.5309649;6288592.625;1.46E+08
RB300x540, 4x12.5mm;300;540;4;12.5;1963.5;273444.22;160036.5;100.5309649;2337475.185;1.58E+08
RB300x540, 6x12.5mm;300;540;6;12.5;2945.24;273444.22;159054.76;100.5309649;3319215.185;1.56E+08
RB300x540, 8x12.5mm;300;540;8;12.5;3926.99;273444.22;158073.01;100.5309649;4300965.185;1.54E+08
