Profile;Area ;Wpl;Iy;h,,,,,
IPE100;1030;39400;1710000;100,,,,,
IPE120;1320;60800;3180000;120,,,,,
IPE140;1640;88400;5410000;140,,,,,
IPE160;2010;123800;8690000;160,,,,,
IPE180;2390;166400;13200000;180,,,,,
IPE200;2850;220000;19400000;200,,,,,
IPE220;3340;286000;27700000;220,,,,,
IPE240;3910;366000;38900000;240,,,,,
IPE270;4590;484000;57900000;270,,,,,
IPE300;5380;628000;83600000;300,,,,,
IPE330;6260;804000;117700000;330,,,,,
IPE360;7720;1020000;162700000;360,,,,,
IPE400;8450;1308000;231300000;400,,,,,
IPE450;9880;1702000;337400000;450,,,,,
IPE500;11600;2200000;482000000;500,,,,,
IPE600;15600;3520000;920800000;600,,,,,
HEB100;2600;104000;4500000;100,,,,,
HEB120;3400;165000;8640000;120,,,,,
HEB140;4300;246000;15100000;140,,,,,
HEB160;5430;354000;24900000;160,,,,,
HEB180;6530;482000;38300000;180,,,,,
HEB200;7810;642000;57000000;200,,,,,
HEB220;9100;828000;80900000;220,,,,,
HEB240;10600;1054000;112600000;240,,,,,
HEB260;11800;1282000;149200000;260,,,,,
HEB280;13100;1534000;192700000;280,,,,,
HEB300;14900;1868000;251700000;300,,,,,
HEB320;16100;2140000;308200000;320,,,,,
HEB340;17100;2400000;366600000;340,,,,,
HEB400;19800;3240000;576800000;400,,,,,
HEB450;21800;3980000;798900000;450,,,,,
HEB500;23900;4820000;1072000000;500,,,,,
HEB550;25400;5600000;1367000000;550,,,,,
HEB600;27000;6420000;1710000000;600,,,,,
HEB700;30600;8320000;2569000000;700,,,,,
