Profile;Width, b [mm];Height, h [mm];Area, A [mm2];Section modulus, W [mm3]
GL30h, 90 x 100mm;90;100;9000;150000
GL30h, 90 x 133mm;90;133;11970;265335
GL30h, 90 x 167mm;90;167;15030;418335
GL30h, 90 x 200mm;90;200;18000;600000
GL30h, 90 x 233mm;90;233;20970;814335
GL30h, 90 x 267mm;90;267;24030;1069335
GL30h, 90 x 300mm;90;300;27000;1350000
GL30h, 90 x 333mm;90;333;29970;1663335
GL30h, 90 x 367mm;90;367;33030;2020335
GL30h, 90 x 400mm;90;400;36000;2400000
GL30h, 90 x 433mm;90;433;38970;2812335
GL30h, 90 x 467mm;90;467;42030;3271335
GL30h, 90 x 500mm;90;500;45000;3750000
GL30h, 90 x 533mm;90;533;47970;4261335
GL30h, 90 x 567mm;90;567;51030;4822335
GL30h, 90 x 600mm;90;600;54000;5400000
GL30h, 90 x 633mm;90;633;56970;6010335
GL30h, 90 x 667mm;90;667;60030;6673335
GL30h, 90 x 700mm;90;700;63000;7350000
GL30h, 115 x 100mm;115;100;11500;191666.6667
GL30h, 115 x 133mm;115;133;15295;339039.1667
GL30h, 115 x 167mm;115;167;19205;534539.1667
GL30h, 115 x 200mm;115;200;23000;766666.6667
GL30h, 115 x 233mm;115;233;26795;1040539.167
GL30h, 115 x 267mm;115;267;30705;1366372.5
GL30h, 115 x 300mm;115;300;34500;1725000
GL30h, 115 x 333mm;115;333;38295;2125372.5
GL30h, 115 x 367mm;115;367;42205;2581539.167
GL30h, 115 x 400mm;115;400;46000;3066666.667
GL30h, 115 x 433mm;115;433;49795;3593539.167
GL30h, 115 x 467mm;115;467;53705;4180039.167
GL30h, 115 x 500mm;115;500;57500;4791666.667
GL30h, 115 x 533mm;115;533;61295;5445039.167
GL30h, 115 x 567mm;115;567;65205;6161872.5
GL30h, 115 x 600mm;115;600;69000;6900000
GL30h, 115 x 633mm;115;633;72795;7679872.5
GL30h, 115 x 667mm;115;667;76705;8527039.167
GL30h, 115 x 700mm;115;700;80500;9391666.667
GL30h, 140 x 100mm;140;100;14000;233333.3333
GL30h, 140 x 133mm;140;133;18620;412743.3333
GL30h, 140 x 167mm;140;167;23380;650743.3333
GL30h, 140 x 200mm;140;200;28000;933333.3333
GL30h, 140 x 233mm;140;233;32620;1266743.333
GL30h, 140 x 267mm;140;267;37380;1663410
GL30h, 140 x 300mm;140;300;42000;2100000
GL30h, 140 x 333mm;140;333;46620;2587410
GL30h, 140 x 367mm;140;367;51380;3142743.333
GL30h, 140 x 400mm;140;400;56000;3733333.333
GL30h, 140 x 433mm;140;433;60620;4374743.333
GL30h, 140 x 467mm;140;467;65380;5088743.333
GL30h, 140 x 500mm;140;500;70000;5833333.333
GL30h, 140 x 533mm;140;533;74620;6628743.333
GL30h, 140 x 567mm;140;567;79380;7501410
GL30h, 140 x 600mm;140;600;84000;8400000
GL30h, 140 x 633mm;140;633;88620;9349410
GL30h, 140 x 667mm;140;667;93380;10380743.33
GL30h, 140 x 700mm;140;700;98000;11433333.33
GL30h, 160 x 100mm;160;100;16000;266666.6667
GL30h, 160 x 133mm;160;133;21280;471706.6667
GL30h, 160 x 167mm;160;167;26720;743706.6667
GL30h, 160 x 200mm;160;200;32000;1066666.667
GL30h, 160 x 233mm;160;233;37280;1447706.667
GL30h, 160 x 267mm;160;267;42720;1901040
GL30h, 160 x 300mm;160;300;48000;2400000
GL30h, 160 x 333mm;160;333;53280;2957040
GL30h, 160 x 367mm;160;367;58720;3591706.667
GL30h, 160 x 400mm;160;400;64000;4266666.667
GL30h, 160 x 433mm;160;433;69280;4999706.667
GL30h, 160 x 467mm;160;467;74720;5815706.667
GL30h, 160 x 500mm;160;500;80000;6666666.667
GL30h, 160 x 533mm;160;533;85280;7575706.667
GL30h, 160 x 567mm;160;567;90720;8573040
GL30h, 160 x 600mm;160;600;96000;9600000
GL30h, 160 x 633mm;160;633;101280;10685040
GL30h, 160 x 667mm;160;667;106720;11863706.67
GL30h, 160 x 700mm;160;700;112000;13066666.67
GL30h, 185 x 100mm;185;100;18500;308333.3333
GL30h, 185 x 133mm;185;133;24605;545410.8333
GL30h, 185 x 167mm;185;167;30895;859910.8333
GL30h, 185 x 200mm;185;200;37000;1233333.333
GL30h, 185 x 233mm;185;233;43105;1673910.833
GL30h, 185 x 267mm;185;267;49395;2198077.5
GL30h, 185 x 300mm;185;300;55500;2775000
GL30h, 185 x 333mm;185;333;61605;3419077.5
GL30h, 185 x 367mm;185;367;67895;4152910.833
GL30h, 185 x 400mm;185;400;74000;4933333.333
GL30h, 185 x 433mm;185;433;80105;5780910.833
GL30h, 185 x 467mm;185;467;86395;6724410.833
GL30h, 185 x 500mm;185;500;92500;7708333.333
GL30h, 185 x 533mm;185;533;98605;8759410.833
GL30h, 185 x 567mm;185;567;104895;9912577.5
GL30h, 185 x 600mm;185;600;111000;11100000
GL30h, 185 x 633mm;185;633;117105;12354577.5
GL30h, 185 x 667mm;185;667;123395;13717410.83
GL30h, 185 x 700mm;185;700;129500;15108333.33
